target_uniprot,training_median,training_q90,reference_source
P35414,0.0987911224365235,1.2227411270141602,base_random_train_X
P24530,0.6133480072021484,1.6233997344970703,base_random_train_X
P30518,-0.3459539413452149,0.7293453216552734,base_random_train_X
P35346,0.0871171951293944,1.137615203857422,base_random_train_X
Q9Y271,0.1325225830078124,1.1111316680908203,base_random_train_X
P34998,-0.1242990493774414,0.8282356262207031,base_random_train_X
P30874,-0.0777435302734375,0.9264965057373048,base_random_train_X
P34995,-0.0516805648803711,0.9663562774658204,base_random_train_X
P08173,-0.2107934951782226,0.7166223526000977,base_random_train_X
P30988,0.5232906341552734,1.1856231689453125,base_random_train_X
P41595,-0.1388769149780273,0.9045114517211914,base_random_train_X
P35408,-0.2551755905151368,0.8556909561157227,base_random_train_X
P21918,-1.9259395599365257,-0.017730712890625,base_random_train_X
P31391,-0.2726345062255859,0.7697772979736328,base_random_train_X
P30968,0.0977849960327148,1.0685205459594729,base_random_train_X
P08913,0.0624513626098632,1.111825942993164,base_random_train_X
Q13639,-0.3891592025756836,0.8141498565673828,base_random_train_X
P43116,0.3292865753173828,1.330095291137695,base_random_train_X
P37288,0.0850210189819335,1.1483192443847656,base_random_train_X
P28222,0.1867847442626953,1.2461671829223633,base_random_train_X
P32238,0.2845535278320312,1.2542839050292969,base_random_train_X
P18825,0.2068195343017578,1.1989545822143557,base_random_train_X
P30872,0.7273139953613281,1.5313701629638672,base_random_train_X
P47901,0.0461559295654297,1.1553144454956057,base_random_train_X
P25021,0.0579919815063476,1.0207252502441406,base_random_train_X
P18089,-0.1465816497802734,0.8367843627929688,base_random_train_X
P48039,-0.277576446533203,1.089273452758789,base_random_train_X
P49286,-0.3693389892578125,0.9996118545532224,base_random_train_X
P43088,-0.1326818466186524,0.8494300842285156,base_random_train_X
P41146,-0.3980798721313476,0.7596826553344727,base_random_train_X
P32745,0.46388626098632796,1.4498090744018557,base_random_train_X
P08912,-0.0406961441040039,0.8542718887329102,base_random_train_X
P21728,-1.3296575546264655,0.4204511642456054,base_random_train_X
Q9UBS5,0.0152587890624999,1.2652730941772459,base_random_train_X
P07550,-0.0269536972045898,1.2452554702758791,base_random_train_X
P61073,0.3793735504150391,1.393880844116211,base_random_train_X
P08172,-0.126779556274414,0.806187629699707,base_random_train_X
P08588,0.1997861862182617,1.229206085205078,base_random_train_X
P08908,0.7022438049316406,1.909006118774414,base_random_train_X
P11229,-0.2054958343505859,0.7479486465454102,base_random_train_X
P14416,-0.1256494522094726,0.947138786315918,base_random_train_X
P21554,0.1419639587402343,1.2575368881225586,base_random_train_X
P21917,-0.3101644515991211,0.7699708938598633,base_random_train_X
O43193,-0.007476806640625,1.0150632858276367,base_random_train_X
P25100,0.0519962310791015,1.0114717483520508,base_random_train_X
P28223,-0.0976438522338867,0.9935216903686525,base_random_train_X
P28335,-0.1211462020874023,0.9564199447631836,base_random_train_X
P30542,0.0813817977905274,1.1723012924194336,base_random_train_X
P30556,0.7544794082641602,1.6900739669799805,base_random_train_X
P35348,-0.2536706924438477,0.8933296203613281,base_random_train_X
P35367,0.0570564270019532,1.0597467422485352,base_random_train_X
P35368,0.1138467788696289,1.0769805908203125,base_random_train_X
P21452,0.2421131134033202,1.186201095581055,base_random_train_X
P35372,0.3727226257324219,1.2996768951416016,base_random_train_X
P35462,-0.1925735473632812,0.964869499206543,base_random_train_X
P41143,0.6977615356445312,1.7411718368530271,base_random_train_X
P41145,0.4115772247314453,1.3885021209716797,base_random_train_X
P32246,0.1036157608032226,1.2685756683349607,base_random_train_X
P25025,-0.1624975204467774,0.8296546936035156,base_random_train_X
P20309,0.0255155563354492,0.9643192291259766,base_random_train_X
P13945,-0.3410329818725586,0.8968296051025391,base_random_train_X
P25103,-0.1013641357421874,1.1861085891723633,base_random_train_X
P25105,-0.355804443359375,0.6667747497558594,base_random_train_X
P29274,-0.0641546249389648,1.069438934326172,base_random_train_X
P25101,-0.1454668045043945,1.1365537643432615,base_random_train_X
P34972,-0.2709865570068359,0.8107194900512695,base_random_train_X
P29275,0.0572853088378906,1.3729286193847656,base_random_train_X
P0DMS8,-0.1164760589599609,0.9736242294311525,base_random_train_X
P32245,0.3993902206420898,1.3195028305053709,base_random_train_X
Q9Y5N1,-0.5269737243652344,0.774785041809082,base_random_train_X
P51681,0.4567546844482421,1.5262956619262695,base_random_train_X
P32239,0.4549341201782227,1.7312545776367188,base_random_train_X
