"path","bytes","sha256"
".gitignore","90","d6f7943d3cf02f492d0d8a8b8cb63db917e9be9b813bc2095614fc7ef4c7aa77"
"CITATION.cff","328","cd8b4bb52b67610b3b02094bea78a9d1082035e64a10a2617c3345940b20e992"
"LICENSE_PENDING.md","269","fa78294ccf2cd4a6330de2888757da224a51bd2cc71bb2e55d1faeac468a2f51"
"README.md","4376","99f1ee68c8d165bf388fb6105a99adb04ca4328ea28a80380f69264371323aad"
"RELEASE_BLOCKERS.md","603","70ef1c2cc9548c2117c9fa4a3902bb5e47ee4b845a9a6e673b1b327abe05a22c"
"configs/dose_exponet.yaml","458","b9dabdfe9f8cd2129cbdea17729a2123a0538034358bc5a9bb795374097aba3c"
"configs/dotsafenet_base.yaml","699","bc8d5312e319c198b1cc44977faed70505a799527c9bda6454e23efcd5d4f172"
"configs/dotsafenet_clinical_finetune.yaml","440","35f817f5fccddc02430a00f9a144f7d7ea7c874a184419ed43e8b6537f25ae12"
"configs/ot_profilenet.yaml","720","2ec3108035a3c3a2c41e47b5f83e74aaf8e81e4e9e1973e14ef398331a98a576"
"configs/pipeline.yaml","625","e24272cdde31c8694ccd1c8bac0d70fb9664213d41389b68559840760e46fde6"
"configs/plasmabindnet_fu.yaml","730","bbc077491499ae115e52030fdb45a03f349df1d756afe7c45a7b8ae0ca2d0c0c"
"configs/run_records/dose_exponet_seed2023_config.json","764","dc5ed6ec25cc9cb82f2e4e37b1bc2acabdb9ddd6126259493f4a41c61fb6c2e1"
"configs/run_records/dose_exponet_seed2023_model_params.txt","634","3c95d00e34aae63e3424077896b19007219dbd337b2585dc5c7e7e7602b210a6"
"configs/run_records/dotsafenet_base_training_metadata.json","8091","65a4587699e0ab79d6b934ea5f1f90142e373884d03271b08a0386d2ccb50b9e"
"configs/run_records/dotsafenet_clinical_training_metadata.json","1252","0bad3780555c7ee592d26a9c1a541280e73fdc2cc65678106444eb1636e19f49"
"configs/run_records/plasmabindnet_fu_seed2044_metadata.json","1354","75c9e1423350b91cfd21ab92d89014eaf67e812e67ebdbd2124e25fa8a50eef1"
"configs/safety_profiler.yaml","623","9f36f038a752a4b0630c0dd3d750463b05be6193b4bc4733d75d231caa7dd21c"
"data/dotsafenet_test/test_X.csv","6959236","a08a3a47e1e58ef45077c33eb16549ef6ef081b16398b5859d94aad6d8b89f6c"
"data/dotsafenet_test/test_y.csv","97763","616e384b5eeca19c060f504e8f0db4d865aab8dca635729115b333ecbba7b65e"
"data/examples/paper_case_attribution_reference.csv.gz","22983","a9b84aa017fdd32206073e9762d0b257a6e89c44137655d0cdc16e5e1c5adbe2"
"data/examples/paper_case_exposure_reference.csv","720","0f72ee17596c58c08f083ebe46cfb41cea8c04bb9a79b486ada3ee53a484b6f9"
"data/examples/paper_case_inputs.csv","485","f51ca4e37fb3cb18bc92f8fe57fc3b99fc48f2b747bce57cf6b6cb1e20f085e7"
"data/examples/paper_case_margin_reference.csv.gz","27152","008c5943ce3608b892533930bdc37410dbb6b72d0ee9a30eba61d0904acc434c"
"data/examples/paper_case_soc_reference.csv","13982","dcf57fa5326b6e3a1db5fa86d1dec70be6c34c27882f2a0de61139bf0026adbd"
"data/manifests/build_metadata.json","328","d2976babb786c528d663526e7758d7b0ef180d89901c13962832af8f7281ad5f"
"data/manifests/data_manifest.csv","1935","c22302e0514cb2e6707bed5a27e973471dbf649aeda75ffdf71de9f9b6fc1ec5"
"data/manifests/figure_manifest.csv","2723","9d4c54512a9a621c1e870582f7f74d7748b59519f17813e9d9979e408a75fd2a"
"data/manifests/final_figure_files.csv","2044","1cf76c2ffe984d550c0e5621a53d6a18204674b02a213feda6920215294a63b6"
"data/manifests/inference_assets_manifest.csv","802","c5b65e922752eff391d05cb18a270176eb35fbc6d4aaa1999635047584adec3a"
"data/manifests/model_lineage.csv","398","392e6700692fa790136b507e1395cf059872a7853f0b06534b9e19e93ac4ab3b"
"data/manifests/soc_order.csv","693","414759ec525da5257aa4f6905f3a1f5c130527cac02c7bd2b444d0941e6f6ba5"
"data/manifests/target_order.csv","5978","ce009d4302059bc4e1c2416186725e5d493187cb88aeb8757363d6ba141e3a50"
"data/manuscript_tables/supplementary_table_4_external_ppb_predictions.csv","2335","cfa2a5e5efb71c26edd5d93e91bfd96a3b1e1a91d1f2e571188ee53cb838d878"
"data/reference/soc_background_quantiles.csv.gz","47574","7f61cb2d19cfa5568f17c9075e30639e0bdf41e01e99559d440c97a4a3668d8c"
"data/reference/soc_target_evidence_matrix.csv","8442","e10c39f1ddf1d90bf6588b01c41c48e8598d5a580e9260fd743bb1633fd46b73"
"data/reference/target_feature_reference.csv","12668","29fb80156129043ebfa559c25ff8cb1d1608e78f60d1df58bd886e7bb08207b5"
"data/reference/target_gene_map.csv","2733","2053715ffe5c74b49ebc97db99ff2a7a82434dd8861f6b81e61ad25c63e7d843"
"dist/SHA256SUMS.txt","209","88c03bb742437507a33e9687866e214995b8c9e48e81329b54a987f90ee6a0ba"
"dist/dotsafenet-paper-reproducer.skill.zip","5454","669ddcee9a5fd6a1ac612c2ca280bdfdffb9af65b170c19a9b66957dbbfb3f53"
"dist/dotsafenet-safety-profiler.skill.zip","5783","5791c795e3990c6580a2e2fc5100658559fec5cbbcc2d6267d8647b82d442789"
"docs/changelog/changelog_publication_release.md","2091","f92de354d53343e4606c4da851ff24643219bedfb1ac11b74c97e50a6cb23d70"
"docs/data_dictionary/data_dictionary_release_tables_v1_20260805.md","837","09a2790333aa50aa468935b8c48885d7ab1616732a24a9cae565fe529933d41a"
"docs/index.md","578","c867633f96682282c84d201788efc4e06bbbf358aa30bf8da0591f470edf6fec"
"docs/methods/method_model_lineage_and_data_contracts_v1_20260805.md","1388","def78677b4e2d7dbd9a601167ee7a08bccc172201eae03fdb3ecdac591bb31a3"
"docs/qc/figure_render_report_20260817.json","2162","c089b12c0b24490f8b226c4de455cdc04f5be4eb55589dce5b11d630300e1d83"
"docs/qc/profiler_full_smoke/README.md","1043","9af7340cfcdb305a73c8ca64f2683716c62a416484dba385cd60bd2dab2cb2d3"
"docs/qc/profiler_full_smoke/adr_predictions.csv","3699","0ade546082f5ca25118bec722598379125f4b799f7088b2d61313ee00d9b5898"
"docs/qc/profiler_full_smoke/dotsafenet_features.csv","11393","8e2131e4a130539abcafefee5005159357a7af0eb24370728b87b97c1f98f216"
"docs/qc/profiler_full_smoke/exposure_predictions.csv","637","16e50711fecc5a9f2e2c8ef76f5ed64aab2f02fee8af1f77656555e5cecf2a5a"
"docs/qc/profiler_full_smoke/report.json","1269381","4a192691fb8cdffcea68aaaeac1308899c6db48ed45f34c05bb6d96d3f804ca8"
"docs/qc/profiler_full_smoke/target_attribution.csv","336253","8166506f049c9803b6c93f72503297aa6bd55b183ae31bbd69a6da3cfca2abde"
"docs/qc/profiler_full_smoke/target_margins.csv","24142","6e07ac2e8b94a3a9598e715cd462fd8ce048527f393a951e0f290cb4ab1bc302"
